,test_acc,train_acc,test_loss,train_loss
0,0.409,0.3423777777777778,1.640187641620636,1.8319924531936647
1,0.487,0.4444888888888889,1.4620332280158996,1.5421697392993503
2,0.503,0.48415555555555556,1.417043810892105,1.435922026178572
3,0.5376,0.5103111111111112,1.321761324596405,1.3694354434967042
4,0.5648,0.5281555555555556,1.2315795788764954,1.3186587079048158
5,0.5356,0.5484444444444444,1.314320770072937,1.273119132958518
6,0.5814,0.5587555555555556,1.1802052912712098,1.2393579975763958
7,0.5918,0.5719555555555556,1.1640834969520568,1.2087247825807996
8,0.618,0.5825777777777777,1.0982231465816499,1.1788394301096599
9,0.6086,0.5917111111111111,1.1244021829605102,1.1555540871726142
10,0.6268,0.5983777777777778,1.0673282806634903,1.1337750143766403
11,0.6294,0.6082444444444445,1.0593401414871215,1.1112659706751506
12,0.6288,0.6131777777777778,1.0572356547117234,1.0955905364089542
13,0.6292,0.6228222222222223,1.0457248209118843,1.0747379669427872
14,0.6426,0.6268222222222222,1.0461445477724076,1.056848237464163
15,0.6626,0.6324444444444445,0.9826538628101349,1.0396542064322365
16,0.6516,0.6389555555555556,0.9978174478530883,1.0240805028571023
17,0.6548,0.6475111111111111,0.9864248222708702,1.009171371820238
18,0.6644,0.6541111111111111,0.9606320958852768,0.9886333140412966
19,0.6762,0.6559777777777778,0.9379041275858879,0.9785502668592665
20,0.6768,0.6615333333333333,0.9497315799355507,0.9638559686130947
21,0.6782,0.6679333333333334,0.938603367972374,0.9476800566408369
22,0.6756,0.6739111111111111,0.936587891715765,0.9342030549632179
23,0.6846,0.6763777777777777,0.9073626107215881,0.9225549350778262
24,0.6768,0.6808222222222222,0.927344116294384,0.9100258312331305
25,0.6832,0.6852666666666667,0.9113629223287105,0.8943430023855633
26,0.6896,0.6899555555555555,0.8989443895697594,0.8806005698985524
27,0.6864,0.6958666666666666,0.8873542543530464,0.8707732739077674
28,0.6832,0.6980444444444445,0.9109359269082546,0.8589500125381682
29,0.6824,0.7052222222222222,0.9060552572667598,0.8424053864690992
30,0.6852,0.7068888888888889,0.8973673469305038,0.8360521276844872
31,0.6924,0.7109555555555556,0.8727827406942844,0.8216889150202275
32,0.705,0.7142888888888889,0.8527757326364517,0.81498454979327
33,0.7008,0.7186444444444444,0.8486228075027465,0.802074928428067
34,0.6994,0.7245555555555555,0.8611265417397023,0.7894148865600427
35,0.6946,0.7242444444444445,0.8684811911463738,0.7844067030032476
36,0.6908,0.7284444444444444,0.894811024454236,0.7727057952450381
37,0.691,0.7344888888888889,0.8868674246281385,0.7581471897439824
38,0.698,0.7383333333333333,0.8652954942703247,0.7488403509623475
39,0.6904,0.7422444444444445,0.8811340295255184,0.7388273113369942
40,0.7036,0.7455777777777778,0.856029063333571,0.7267576574815644
41,0.6946,0.7476666666666667,0.8857977189958095,0.7195245401700338
42,0.6948,0.7532222222222222,0.8714500289916992,0.7098422957678636
43,0.7062,0.7529333333333333,0.8521295591056347,0.7015932844175233
44,0.7018,0.7579333333333333,0.8677189672231674,0.6931144152177705
45,0.6994,0.7632444444444444,0.8686993405789137,0.6797753579462568
46,0.7004,0.7636222222222222,0.887224696880579,0.6777127297355069
47,0.6994,0.7687111111111111,0.8742584730029106,0.6622941072212325
48,0.7066,0.7686444444444445,0.8588503612548113,0.6568992260108392
49,0.6972,0.7724888888888889,0.8943676107496024,0.647248446441359
50,0.7062,0.7734888888888889,0.8652268141210079,0.643602001317011
51,0.698,0.7776444444444445,0.8948825767487287,0.6371791506108311
52,0.7032,0.7798444444444445,0.8744098258256913,0.6317016038576762
53,0.6992,0.7831555555555556,0.882548964753747,0.6214556391312016
54,0.7026,0.7839333333333334,0.8993623213201761,0.6136589103619258
55,0.7092,0.7881333333333334,0.8734463302485644,0.6061731469608016
56,0.705,0.7888,0.8760070879638195,0.6037581756177876
57,0.7158,0.7910444444444444,0.8662229578703642,0.5967923967437612
58,0.7096,0.7941777777777778,0.8866281688831746,0.5823333085248867
59,0.7054,0.7936888888888889,0.9023167565464973,0.5822093855927388
