,test_acc,train_acc,test_loss,train_loss
0,0.4302,0.32313333333333333,1.6372265600204468,1.8959204863230388
1,0.4826,0.43995555555555554,1.4819138417243958,1.5705107718255784
2,0.534,0.48031111111111113,1.3406166800498962,1.4590819501135084
3,0.5494,0.5071555555555556,1.3037107151031495,1.3873792261971367
4,0.559,0.5241777777777777,1.2502830403804779,1.334235662677553
5,0.5324,0.5393777777777777,1.2900117378234863,1.2991460220389897
6,0.578,0.5478,1.2061647441387175,1.267971077659395
7,0.5824,0.5601555555555555,1.1806775740146638,1.2387054463439517
8,0.6002,0.5704666666666667,1.1495618075370788,1.2117641933812036
9,0.6114,0.5792666666666667,1.11967345123291,1.1908670242203607
10,0.614,0.5878444444444444,1.1136146103858948,1.169431760734982
11,0.6276,0.5944222222222222,1.0724703773975373,1.1478275431685978
12,0.6254,0.6054666666666667,1.074618451309204,1.1270844280878702
13,0.6058,0.6077333333333333,1.1221860914230346,1.1088489664461878
14,0.6208,0.6155555555555555,1.069420234799385,1.0912000263929367
15,0.6286,0.6204444444444445,1.05643417801857,1.075115066048834
16,0.6446,0.6255555555555555,1.0164332010746002,1.0583041214227675
17,0.644,0.6313555555555556,1.011521965122223,1.0400795542266634
18,0.6302,0.6398444444444444,1.055273439836502,1.025710271607505
19,0.648,0.6444,0.9981906543970108,1.0115933022896448
20,0.6468,0.6470888888888889,0.9912757199287414,0.998512724381023
21,0.6506,0.6550888888888889,1.0091576680898666,0.9842036575886939
22,0.6682,0.6579111111111111,0.9525604588270188,0.9685451255930795
23,0.654,0.6649777777777778,0.9752550657272339,0.9524624241749445
24,0.6546,0.6687333333333333,0.9776086728692055,0.9421741514205932
25,0.6706,0.6740666666666667,0.9394962006330491,0.9265243762493134
26,0.6752,0.6799777777777778,0.9452814874649048,0.9161324019961887
27,0.6716,0.6842666666666667,0.9423050406217575,0.9033451669010851
28,0.6762,0.6859555555555555,0.922080096077919,0.8923005437413851
29,0.672,0.6904666666666667,0.9401266630411148,0.8825835214508905
30,0.667,0.6941111111111111,0.9462579607486725,0.8701338264160686
31,0.6784,0.6981111111111111,0.9189349560499191,0.8593518732031187
32,0.6794,0.7033777777777778,0.9184310137629509,0.8459087226496802
