,test_acc,train_acc,test_loss,train_loss
0,0.3816,0.2501555555555556,2.1181168794631957,2.210365894165906
1,0.5286,0.4545777777777778,1.9684802174568177,2.0451549792831596
2,0.592,0.5625111111111111,1.8412984609603882,1.9064068089831958
3,0.6312,0.6144444444444445,1.7304239392280578,1.7878330458294263
4,0.651,0.6468666666666667,1.6353486776351929,1.6857333413579247
5,0.6688,0.6676888888888889,1.5549853682518004,1.598319178277796
6,0.68,0.6814888888888889,1.4839874386787415,1.5227037288925864
7,0.6874,0.6916444444444444,1.4239898204803467,1.4570287777618929
8,0.6992,0.7002222222222222,1.3697340965270997,1.3994200676679611
9,0.7036,0.7072222222222222,1.3221382737159728,1.3488146676258608
10,0.708,0.7106,1.2808358788490295,1.304020112211054
11,0.714,0.7163111111111111,1.243559432029724,1.2642696228894321
12,0.7166,0.7200444444444445,1.2090253353118896,1.2283225791020826
13,0.7204,0.7227777777777777,1.177575123310089,1.1957542544061488
14,0.7226,0.7257777777777777,1.151942217350006,1.1671133027835325
