,test_acc,train_acc,test_loss,train_loss
0,0.4334,0.37464372584423916,1.5526565380096435,1.743461821619161
1,0.5134,0.4813543640786116,1.3673904066562652,1.4506653082624061
2,0.5624,0.5293152074970529,1.2486140382289888,1.3275227849197742
3,0.5892,0.5603241162162566,1.1777727578163146,1.2420807968813095
4,0.6154,0.5818423291003239,1.1186997624874115,1.1859334723002675
5,0.6252,0.601286317580171,1.0805464281082153,1.136203953360151
6,0.6432,0.6130899974631788,1.0277217279672624,1.0956110120534726
7,0.6438,0.6255651888439556,1.0364303071022034,1.0635781648677873
8,0.639,0.635637861310492,1.0374631891489028,1.034326264325881
9,0.6542,0.6461582081088744,0.9773230567455292,1.006422659401124
10,0.6534,0.6577678957814156,0.9745435142755509,0.9760340102238388
11,0.6746,0.6629907629862862,0.9455286471128463,0.9592357928295102
12,0.6834,0.6743467685374479,0.9153066843271256,0.9314424455258361
13,0.6806,0.6838523868503126,0.8998185155153274,0.9098262132455757
14,0.6926,0.6901795174070703,0.8951845682859421,0.8879792564345655
15,0.686,0.695850058943787,0.8980043761014939,0.8698340948545251
16,0.6986,0.703311297807888,0.8702464036703109,0.8526516704239423
17,0.701,0.7078626535149897,0.8502841133356094,0.833635852487496
18,0.682,0.7141599391162908,0.8805433899402618,0.8173125884173821
19,0.694,0.7202930774625819,0.8805772346496582,0.804995922476473
20,0.7042,0.7237252473400684,0.8453327906608582,0.7908400125010878
21,0.7008,0.7308432692164207,0.8540119793534279,0.7769259065331822
22,0.7022,0.7341859042275379,0.8510495656371116,0.7637307117933823
23,0.706,0.7377076089713936,0.8463363592088222,0.7503491804000157
24,0.7012,0.7429453986539926,0.8613948480010033,0.737012276125115
25,0.7158,0.7483473355916016,0.821129817301035,0.7244485077506334
26,0.7176,0.7520033426350111,0.816507444870472,0.7137447155963585
27,0.7002,0.754361094116067,0.8472032580018044,0.7014647268734528
28,0.7068,0.759673496187307,0.8499924043774605,0.6907229544144621
29,0.7096,0.7639413248175727,0.8301770861566067,0.6775703852805229
30,0.7058,0.7671944249623207,0.8396628457605839,0.6667218491082845
31,0.72,0.770910121916643,0.8041499079108239,0.6598546403012499
32,0.7066,0.7725217495112888,0.8445802813589572,0.6492136206906576
33,0.7064,0.7759986868219599,0.8403326094925404,0.6421125800520808
34,0.7104,0.7816692283586767,0.8373306588411331,0.632540840257777
35,0.7208,0.7833405458642353,0.8172134733915329,0.6267057482561861
36,0.712,0.7859967468998552,0.8419142586827278,0.6153116937745858
37,0.711,0.7878919015713369,0.8223271659433842,0.6093614633127619
38,0.7158,0.7917568233029412,0.8121313793599606,0.597621139015198
39,0.7078,0.7938012027517048,0.8463623174190521,0.5921381694934323
40,0.719,0.7965170936982376,0.8106854671835899,0.5837547641180361
41,0.7158,0.7983376359810783,0.835752821663022,0.5771656077827867
42,0.7148,0.7999343410979959,0.8488851179331541,0.5700476094213202
43,0.7174,0.8023219375345082,0.8383683266609907,0.5617276956591303
44,0.7158,0.8056347275901691,0.8326604876279831,0.5566519585095538
45,0.6988,0.8077089519943892,0.8751613230094314,0.5486483320535356
46,0.7168,0.8108277498395834,0.8385565663278103,0.5425739145374231
47,0.7166,0.8140808499843314,0.8235685955882073,0.533555225099956
48,0.7196,0.8128870517660752,0.8365853321939707,0.533115385901492
49,0.709,0.8171847253517974,0.881547170728445,0.5237030813365866
50,0.7228,0.8200946085087968,0.8430806579966098,0.5174821670003386
51,0.7158,0.820407980541089,0.8591072851777076,0.512242625164969
52,0.7216,0.8213182516825094,0.8452426628351212,0.5087218373905837
53,0.7152,0.8243325921836062,0.8549326646253467,0.5014308460136105
54,0.696,0.8258845298673392,0.9340696223139763,0.4975352884478484
55,0.6926,0.8275110799397132,0.9394573479145766,0.489756308668377
56,0.7164,0.8292122424007282,0.8592745952874422,0.4861109164521548
57,0.7106,0.8299732887648665,0.8777228191677481,0.48068055182045455
58,0.7134,0.832077358124543,0.8828746611647308,0.4790676150599825
59,0.7172,0.8348230940265322,0.8657188378810883,0.4727696291875538
