,Unnamed: 0,32,64,16,8,4
0,0,1.2216419617419727,1.5143971950323745,1.0033367435903766,1.0033366874607272,0.9542
1,1,0.6527308537316984,0.852129012515599,0.5633982436309665,0.5633993584899728,0.6539
2,2,0.5276158664378191,0.6748962079767477,0.4679662640998785,0.4679724472355385,0.5465
3,3,0.4649571686686568,0.583615044131875,0.4168913428480626,0.4168969731694474,0.4807
4,4,0.4224990953842883,0.5234993331303651,0.375308490667851,0.3753145225829462,0.4229
5,5,0.3910622699576739,0.481670887611637,0.3422085095886929,0.3422045100459129,0.3739
6,6,0.360813209904833,0.4483448264231397,0.314261379883811,0.3142509929023993,0.3324
7,7,0.3380677815693528,0.422152416780591,0.2905539382564303,0.2905548053915777,0.2954
8,8,0.3203653856455305,0.3994063293053345,0.2705799324290315,0.2705798495303967,0.2725
9,9,0.3015551466995211,0.3833346803757277,0.2456973445318027,0.2456892983517134,0.2434
10,10,0.2850886296650345,0.3643742043482648,0.2301438137494263,0.230138280560715,0.2241
11,11,0.2702511775081642,0.3470499773869629,0.2122001369380141,0.2121940857929121,0.2024
12,12,0.2547363625586499,0.336420635481111,0.1937378221572205,0.1937417603173011,0.1759
13,13,0.2433168338247665,0.3231230050071396,0.1786092912208473,0.1786010709317739,0.1644
14,14,0.2295542881025137,0.3095387884055857,0.1635041805068637,0.1635032164684798,0.1444
15,15,0.2161455327683335,0.2987943292828277,0.1497681392586852,0.1497565406390194,0.1345
16,16,0.2054813393228174,0.2914613948351788,0.1398382167368872,0.139831069852785,0.1324
17,17,0.1934887353878921,0.280573444049382,0.1267996191862742,0.126801315516348,0.1138
18,18,0.1837443338671345,0.2710725643079389,0.1150952740754485,0.115103400373779,0.1069
19,19,0.1759636680203057,0.2611415457107465,0.1088591549100888,0.1088507418869042,0.1033
20,20,0.1663773845452299,0.2546272098023275,0.1010531811626317,0.1010376695276016,0.1031
21,21,0.1556838968584702,0.2449766418430954,0.089865381139598,0.0898627858932838,0.092
22,22,0.1464435343816611,0.237797782999802,0.0837881074791394,0.0837952291045518,0.0879
23,23,0.1375770348758988,0.2294979614565487,0.0768239683375359,0.0768415171422022,0.0794
24,24,0.1289747154304404,0.2227417744209312,0.0707854096124023,0.0707961454770421,0.0748
25,25,0.1237547454916009,0.2150231200556101,0.0657303549738821,0.0657527536437941,0.0709
26,26,0.1160647866733811,0.2081506512000818,0.0608589915894574,0.0608582641443779,0.0706
27,27,0.1111120803406768,0.2041782044847919,0.0598583711197661,0.0598933989984316,0.063
28,28,0.1042345664119738,0.1951065375416709,0.0544628718424212,0.0544704048866369,0.0656
29,29,0.1001220495806108,0.1893761766682886,0.0529342405528031,0.0529536449034775,0.0597
