,test_acc,train_acc,test_loss,train_loss
0,0.8498,0.7684,0.4322017518058419,0.7001677392391695
1,0.8902,0.8615111111111111,0.33065825822143813,0.41645035626101823
2,0.8944,0.9109555555555555,0.3255408807623666,0.2688235905425416
3,0.9032,0.9374888888888889,0.31332189211451916,0.1830264754885135
4,0.8994,0.9566666666666667,0.3215441370204091,0.1301865295446536
5,0.9078,0.9665777777777778,0.33613498020324334,0.10073502613554527
6,0.9092,0.9721555555555556,0.31689553664307096,0.08221437658251832
7,0.9092,0.9770888888888889,0.35442743267093174,0.06735825478355287
8,0.9044,0.9797333333333333,0.3534651862526127,0.05973733302794588
9,0.9102,0.9826888888888888,0.35380028377563866,0.050897697963998345
10,0.899,0.9835111111111111,0.376521685422783,0.04993385353834504
11,0.9102,0.9855555555555555,0.3385294792858978,0.04383596808827125
12,0.9002,0.9863555555555555,0.3822334232107085,0.040015410767013884
13,0.9042,0.9885777777777778,0.3924657268946643,0.03545476552576013
14,0.9102,0.9882666666666666,0.3712244664732377,0.03529872926274086
15,0.9082,0.9899333333333333,0.3561092766565107,0.03187051033227617
16,0.9148,0.9892666666666666,0.3483247331199256,0.032226180191376
17,0.9144,0.9904888888888889,0.35402765440962963,0.029220711233982174
18,0.9164,0.9909333333333333,0.3407609583335089,0.026578672050327528
19,0.915,0.9916666666666667,0.3772579319571798,0.02506037041668776
20,0.9136,0.9912666666666666,0.38440953646711257,0.02644225295438567
21,0.9088,0.9926222222222222,0.4109799983160592,0.02244867578374281
22,0.915,0.9927777777777778,0.3807328004520498,0.021928946545196396
23,0.9088,0.9935111111111111,0.42205220211250416,0.020166110112673316
24,0.9156,0.9936,0.38817174932230836,0.02029478234682511
25,0.9104,0.9936666666666667,0.42849541657176304,0.019363618270421316
26,0.9218,0.9940666666666667,0.4028507009246222,0.017386510757930098
27,0.9166,0.9939111111111111,0.37683659624877136,0.018876345349628725
28,0.915,0.9941111111111111,0.4348300486787058,0.017398511027754887
29,0.9082,0.9943111111111111,0.46292846468557297,0.01710838560292632
