,0.1,0.2,0.25,0.35
0,1.7810492916319105,1.8164274153603448,1.7925110382609897,1.7947810909165276
1,1.4491308826552498,1.4846243679788378,1.5330113135761685,1.5066846988466052
2,1.3019461160235934,1.3653851436191136,1.4131456731690302,1.404028185558319
3,1.2167978332678477,1.292704885450999,1.317312568977144,1.3229409695678287
4,1.161702907866902,1.2272861448552874,1.246922124364641,1.2683064831468793
5,1.1156591964933606,1.1820589078638288,1.1958939887682596,1.2259935541046991
6,1.076409330232938,1.1377658753871918,1.148338754887051,1.188689220603307
7,1.0457068143791624,1.1049766719606187,1.1106402478668425,1.155280900284979
8,1.017465276968479,1.0722397257963816,1.0815619090133244,1.1226313132948345
9,0.991624255683687,1.0479387253814274,1.0521591000398,1.0961719106382795
10,0.9639602920399771,1.0258709764930938,1.024765107120408,1.0700398874786166
11,0.9422862045076158,1.001445985812611,1.003090475555261,1.0489071683910158
12,0.9228752051459418,0.9801695359627406,0.9848893870247735,1.0299298400865662
13,0.900698082002004,0.9623471209208171,0.9630892280790541,1.0119587476624383
14,0.8847955394095844,0.945554280772474,0.9463528498199251,0.991854789797465
15,0.8636708550082313,0.928177980073293,0.9275595480627484,0.9728530208309492
16,0.8484676335838106,0.9113694500976138,0.9110269767867194,0.9572863558848699
17,0.829541958963871,0.8980384950664309,0.8981552421715524,0.9447386758274502
18,0.8151861421823502,0.8854131014373567,0.882203320813179,0.9296192008190685
19,0.7980986680931516,0.8637434011644787,0.8666935297661358,0.9158576146099302
20,0.7834317834423647,0.852932738632626,0.8594355120658874,0.9083364645083746
21,0.7692954604797894,0.8398425798667801,0.8405795089973344,0.8940782565977838
22,0.7534635382990043,0.8226038585642974,0.8291780746605661,0.8806807901302973
23,0.7426427334997389,0.8179988625956907,0.8210752697971132,0.8646797748896811
24,0.7306838347064124,0.8033830930829048,0.8086508424374792,0.8545934414519204
25,0.7132304539574517,0.79089698248042,0.7991908175395595,0.8510898840586344
26,0.7046193859133455,0.7818612970915105,0.7858630789875984,0.8374274543656243
27,0.6876572489804692,0.7710056981801987,0.772176516455412,0.8307256060348617
28,0.6803124143365357,0.7547816532413165,0.7711822520348761,0.817018249517017
29,0.6647662856360277,0.745542024494542,0.7591626433385743,0.8132804855134752
